iata_prefix,region_key
BKK,asia
HAN,asia
HKG,asia
ICN,asia
JKT,asia
KUL,asia
MNL,asia
SEL,asia
SGN,asia
SIN,asia
TPE,asia
AKL,australia
BNE,australia
MEL,australia
PER,australia
SYD,australia
YUL,canada
YVR,canada
YXU,canada
YYC,canada
YYZ,canada
AMS,europe
ARN,europe
ATH,europe
BCN,europe
BER,europe
BRU,europe
BUD,europe
CDG,europe
CPH,europe
DUB,europe
DUS,europe
FCO,europe
FRA,europe
HAM,europe
HEL,europe
LHR,europe
LIS,europe
LON,europe
MAD,europe
MAN,europe
MIL,europe
MRS,europe
MUC,europe
MXP,europe
OSL,europe
OTP,europe
PAR,europe
PRG,europe
SOF,europe
STO,europe
TLV,europe
VIE,europe
WAW,europe
ZAG,europe
ZRH,europe
BLR,india
BOM,india
CCU,india
DEL,india
HYD,india
MAA,india
MUM,india
PNQ,india
HND,japan
NRT,japan
OSA,japan
MEX,mexico
QRO,mexico
BAH,middle-east
CAI,middle-east
DOH,middle-east
DXB,middle-east
IST,middle-east
JED,middle-east
KWI,middle-east
MCT,middle-east
RUH,middle-east
CPT,south-africa
JNB,south-africa
LOS,south-africa
NBO,south-africa
BOG,south-america
EZE,south-america
FOR,south-america
GIG,south-america
GRU,south-america
LIM,south-america
SCL,south-america
ATL,united-states
BNA,united-states
BOS,united-states
CMH,united-states
DEN,united-states
DFW,united-states
EWR,united-states
IAD,united-states
IAH,united-states
JFK,united-states
LAS,united-states
LAX,united-states
MCI,united-states
MDW,united-states
MIA,united-states
MSP,united-states
ORD,united-states
PDX,united-states
PHL,united-states
PHX,united-states
PIT,united-states
SEA,united-states
SFO,united-states
SLC,united-states
TPA,united-states
